player,xg,xa,npxg
Brenden Aaronson,0.22,0.07,0.22
Che Adams,0.25,0.22,0.25
Tyler Adams,0.01,0.04,0.01
Tosin Adarabioyo,0,0.01,0
Rayan Aït Nouri,0.03,0.15,0.03
Nathan Aké,0.07,0,0.07
Thiago Alcántara,0,0.25,0
Trent Alexander-Arnold,0.06,0.14,0.06
Alisson,0,0,0
Dele Alli,0,0,0
Miguel Almirón,0.21,0.12,0.21
Julián Álvarez,0.44,0.22,0.44
Daniel Amartey,0,0.03,0
Joachim Andersen,0.08,0.1,0.08
Elliot Anderson,1.14,0.48,1.14
Jaidon Anthony,0.28,0.08,0.28
Michail Antonio,0.18,0.04,0.18
Antony,0.41,0,0.41
Cameron Archer,0,0,0
Alphonse Areola,0,0,0
Joe Aribo,0.22,0.04,0.22
Adam Armstrong,0.1,0.14,0.1
Stuart Armstrong,0.09,0.22,0.09
Taiwo Awoniyi,0.34,0.03,0.34
Jordan Ayew,0.11,0.08,0.11
Luke Ayling,0.25,0.87,0.25
César Azpilicueta,0,0.14,0
Leon Bailey,0.09,0.14,0.09
Stefan Bajcetic,0,0,0
Patrick Bamford,0.8,0,0.8
Shandon Baptiste,0.05,0.04,0.05
Harvey Barnes,0.22,0,0.22
Gavin Bazunu,0,0.01,0
Mads Bech Sørensen,0,0,0
Jan Bednarek,0.07,0.04,0.07
Donny van de Beek,0,0,0
Armel Bella Kotchap,0.12,0.02,0.12
Saïd Benrahma,0.09,0.26,0.09
Rodrigo Bentancur,0.01,0.03,0.01
Owen Bevan,0,0,0
Giulian Biancone,0,0,0
Philip Billing,0.01,0.04,0.01
Yves Bissouma,0.05,0.09,0.05
Sven Botman,0.11,0.1,0.11
Jarrod Bowen,0.15,0.04,0.15
Armando Broja,0.45,0,0.45
Emi Buendía,0.49,0.04,0.49
Dan Burn,0.08,0.03,0.08
Cafú,0,0,0
Moisés Caicedo,0.06,0.04,0.06
Tom Cairney,0.19,0.19,0.19
Chem Campbell,0,0,0
João Cancelo,0.03,0.06,0.03
Diego Carlos,0.13,0,0.13
Fabio Carvalho,0.39,0,0.39
Casemiro,0,0,0
Matty Cash,0.02,0.06,0.02
Timothy Castagne,0.08,0.02,0.08
Jonny Castro,0.03,0,0.03
Nathaniel Chalobah,3.09,0,3.09
Trevoh Chalobah,0,0,0
Calum Chambers,0,0,0
Ben Chilwell,0.11,0.06,0.11
Ryan Christie,0.12,0.08,0.12
Bobby Clark,0,0,0
Nathaniel Clyne,0,0.02,0
Conor Coady,0,0.07,0
Jack Colback,0,0.04,0
Nathan Collins,0,0.01,0
Levi Colwill,0,0,0
Lewis Cook,0.01,0.01,0.01
Steve Cook,0,0.05,0
Maxwel Cornet,1.03,0,1.03
Vladimír Coufal,0.01,0.05,0.01
Philippe Coutinho,0.07,0.07,0.07
Conor Coventry,0,0,0
Aaron Cresswell,0.04,0.13,0.04
Marc Cucurella,0.04,0.08,0.04
Patson Daka,0.35,0.54,0.35
Diogo Dalot,0.09,0.1,0.09
Mikkel Damsgaard,0,0.64,0
Josh Dasilva,0.05,0.02,0.05
Ben Davies,0.03,0.03,0.03
Tom Davies,0.12,0.05,0.12
Kevin De Bruyne,0.25,0.47,0.25
Leander Dendoncker,0.15,0.02,0.15
Emmanuel Dennis,0.35,0,0.35
Halil Dervişoğlu,0.21,0,0.21
Kiernan Dewsbury-Hall,0.03,0.08,0.03
Ibrahima Diallo,0.03,0.02,0.03
Rúben Dias,0.06,0.02,0.06
Luis Díaz,0.36,0.06,0.36
Eric Dier,0.05,0.01,0.05
Lucas Digne,0.03,0.08,0.03
Issa Diop,0,0,0
Moussa Djenepo,0.02,0.04,0.02
Matt Doherty,0,0,0
Gabriel Dos Santos,0.21,0,0.21
Abdoulaye Doucouré,0.11,0,0.11
Cheick Doucouré,0.03,0.15,0.03
Flynn Downes,0,0,0
Cody Drameh,0,0.1,0
Shane Duffy,0,0,0
Lewis Dunk,0.02,0.01,0.02
Malcolm Ebiowei,0,0,0
Ederson,0,0,0
Odsonne Édouard,0.29,0.09,0.29
Samuel Edozie,0,0.18,0
Anthony Elanga,0.22,0.34,0.22
Harvey Elliott,0.1,0.28,0.1
Mohamed Elneny,0,0,0
Mohamed Elyounoussi,0.16,0.08,0.16
Emerson,0.06,0.03,0.06
Christian Eriksen,0.17,0.22,0.17
Pervis Estupiñán,0.01,0.54,0.01
Jonny Evans,0,0,0
