team,team_xg,team_xa,team_npxg
Arsenal,2.09,1.34,2.09
Aston Villa,0.86,0.74,0.86
Bournemouth,0.36,0.25,0.36
Brentford,1.56,1.18,1.56
Brighton,1.56,0.96,1.25
Chelsea,1.36,0.95,1.21
Crystal Palace,1.33,0.96,1.16
Everton,1.24,0.73,1.24
Fulham,1.38,0.51,1.06
Leeds,1.49,0.78,1.49
Leicester City,0.77,0.64,0.77
Liverpool,2.01,1.45,2.01
Manchester City,2.56,1.61,2.41
Manchester Utd,1.27,1.03,1.27
Newcastle Utd,1.35,1.08,1.35
Nottingham Forest,0.83,0.48,0.83
Southampton,0.94,0.79,0.94
Tottenham,1.51,1.14,1.35
West Ham,0.94,0.52,0.82
Wolves,1.01,0.86,1.01
