player,gw,position,team,opponent_team,season,predicted_total_points,cost
Aaron Ramsdale,22,GK,Arsenal,Everton,2223,6,4.9
Nick Pope,22,GK,Newcastle Utd,West Ham,2223,6,5.5
Pervis Estupiñán,22,DEF,Brighton,Bournemouth,2223,8,4.5
Kieran Trippier,22,DEF,Newcastle Utd,West Ham,2223,8,6.0
John Stones,22,DEF,Manchester City,Tottenham,2223,8,5.4
Lisandro Martínez,22,DEF,Manchester Utd,Crystal Palace,2223,8,4.5
Takehiro Tomiyasu,22,DEF,Arsenal,Everton,2223,6,4.2
Jarrod Bowen,22,MID,West Ham,Newcastle Utd,2223,16,8.0
Jaidon Anthony,22,MID,Bournemouth,Brighton,2223,9,5.2
Bukayo Saka,22,MID,Arsenal,Everton,2223,9,8.2
Kaoru Mitoma,22,MID,Brighton,Bournemouth,2223,9,5.1
Marcus Rashford,22,MID,Manchester Utd,Crystal Palace,2223,8,7.1
Erling Haaland,22,FWD,Manchester City,Tottenham,2223,17,12.2
Eddie Nketiah,22,FWD,Arsenal,Everton,2223,13,6.6
Sam Surridge,22,FWD,Nottingham Forest,Leeds,2223,8,4.7
