player,xg,xa,npxg
Brenden Aaronson,0.3,0.04,0.3
Che Adams,0.39,0.1,0.39
Tyler Adams,0.01,0.03,0.01
Tosin Adarabioyo,0,0,0
Rayan Aït Nouri,0.03,0.23,0.03
Nathan Aké,0.07,0,0.07
Thiago Alcántara,0,0.25,0
Trent Alexander-Arnold,0.06,0.17,0.06
Alisson,0,0,0
Dele Alli,0,0,0
Miguel Almirón,0.24,0.15,0.24
Julián Álvarez,0.09,0,0.09
Daniel Amartey,0,0.03,0
Joachim Andersen,0.12,0.1,0.12
Elliot Anderson,5.71,0,5.71
Jaidon Anthony,0.02,0,0.02
Michail Antonio,0.14,0.03,0.14
Cameron Archer,0,0,0
Alphonse Areola,0,0,0
Joe Aribo,0.2,0.03,0.2
Adam Armstrong,0.05,0.24,0.05
Stuart Armstrong,0.09,0.16,0.09
Taiwo Awoniyi,0.31,0.04,0.31
Jordan Ayew,0.14,0.06,0.14
César Azpilicueta,0,0.06,0
Leon Bailey,0.06,0.28,0.06
Stefan Bajcetic,0,0,0
Patrick Bamford,0.37,0,0.37
Shandon Baptiste,0.12,0.1,0.12
Harvey Barnes,0.17,0,0.17
Gavin Bazunu,0,0.01,0
Mads Bech Sørensen,0,0,0
Jan Bednarek,0.07,0.04,0.07
Donny van de Beek,0,0,0
Armel Bella Kotchap,0.17,0.03,0.17
Saïd Benrahma,0.1,0.2,0.1
Rodrigo Bentancur,0,0,0
Owen Bevan,0,0,0
Philip Billing,0.02,0.02,0.02
Yves Bissouma,0.21,0.35,0.21
Sven Botman,0.09,0.14,0.09
Jarrod Bowen,0.12,0.01,0.12
Armando Broja,0.21,0,0.21
Emi Buendía,0.6,0.06,0.6
Dan Burn,0.1,0.04,0.1
Cafú,0,0,0
Moisés Caicedo,0.01,0.04,0.01
Tom Cairney,0,0.29,0
Chem Campbell,0,0,0
João Cancelo,0.02,0.06,0.02
Diego Carlos,0.13,0,0.13
Fabio Carvalho,0.41,0,0.41
Casemiro,0,0,0
Matty Cash,0.02,0.06,0.02
Timothy Castagne,0.09,0.02,0.09
Jonny Castro,0.02,0,0.02
Nathaniel Chalobah,4.11,0,4.11
Trevoh Chalobah,0,0,0
Calum Chambers,0,0,0
Ben Chilwell,0,0,0
Ryan Christie,0.06,0.17,0.06
Bobby Clark,0,0,0
Nathaniel Clyne,0,0.02,0
Conor Coady,0,0.12,0
Jack Colback,0,0,0
Nathan Collins,0,0,0
Levi Colwill,0,0,0
Lewis Cook,0,0,0
Steve Cook,0,0.07,0
Maxwel Cornet,0,0,0
Vladimír Coufal,0.01,0.03,0.01
Philippe Coutinho,0.09,0.08,0.09
Conor Coventry,0,0,0
Aaron Cresswell,0.05,0.16,0.05
Marc Cucurella,0.07,0.12,0.07
Patson Daka,0.14,0,0.14
Diogo Dalot,0.13,0.13,0.13
Mikkel Damsgaard,0,0,0
Josh Dasilva,0.04,0.03,0.04
Ben Davies,0.03,0.02,0.03
Tom Davies,0.13,0.1,0.13
Kevin De Bruyne,0.15,0.43,0.15
Leander Dendoncker,0.15,0.02,0.15
Emmanuel Dennis,0.3,0,0.3
Halil Dervişoğlu,0.21,0,0.21
Kiernan Dewsbury-Hall,0.02,0.03,0.02
Ibrahima Diallo,0.26,0,0.26
Rúben Dias,0.09,0.03,0.09
Luis Díaz,0.37,0.01,0.37
Eric Dier,0.04,0.02,0.04
Lucas Digne,0.05,0.12,0.05
Issa Diop,0,0,0
Moussa Djenepo,0.02,0.05,0.02
Matt Doherty,0,0,0
Gabriel Dos Santos,0.25,0,0.25
Abdoulaye Doucouré,0.11,0,0.11
Cheick Doucouré,0.02,0.21,0.02
Flynn Downes,0,0,0
Shane Duffy,0,0,0
Lewis Dunk,0.02,0.01,0.02
Malcolm Ebiowei,0,0,0
Ederson,0,0,0
Odsonne Édouard,0.28,0.06,0.28
Anthony Elanga,0.3,0.46,0.3
Harvey Elliott,0.14,0.45,0.14
Mohamed Elneny,0,0,0
Mohamed Elyounoussi,0.06,0.14,0.06
Emerson,0.06,0.05,0.06
Christian Eriksen,0.21,0.08,0.21
Pervis Estupiñán,0.01,0.86,0.01
Jonny Evans,0,0,0
Eberechi Eze,0.14,0.19,0.14
Łukasz Fabiański,0,0,0
Fabinho,0.02,0.14,0.02
Bruno Fernandes,0.27,0.26,0.27
Roberto Firmino,0.66,0.11,0.66
Phil Foden,0.26,0.29,0.26
Wesley Fofana,0.18,0,0.18
Pablo Fornals,0.06,0.09,0.06
Adam Forshaw,0,0.31,0
Tyrese Francois,0,0,0
Ryan Fraser,0,0.52,0
Fred,0.02,0,0.02
Remo Freuler,0.26,0,0.26
Conor Gallagher,0.03,0.22,0.03
Alejandro Garnacho,0,0,0
David de Gea,0,0,0
Joe Gelhardt,0.09,0,0.09
Saman Ghoddos,0,0,0
Morgan Gibbs-White,0.32,0.03,0.32
Morgan Gibbs-White,0.1,0.07,0.1
Ben Godfrey,0,0,0
Joe Gomez,0,0,0
Sergio Gómez,0.88,0,0.88
Anthony Gordon,0.36,0.04,0.36
Demarai Gray,0.3,0.05,0.3
Jack Grealish,0.04,0.32,0.04
Sam Greenwood,0.31,0,0.31
Pascal Groß,0.43,0.26,0.43
Vicente Guaita,0,0,0
Gonçalo Guedes,0.08,0.16,0.08
Marc Guéhi,0.02,0.09,0.02
Bruno Guimarães,0.01,0.13,0.01
İlkay Gündoğan,0.4,0.31,0.4
Erling Haaland,1.26,0.1,1.04
Jack Harrison,0.16,0.31,0.16
Kai Havertz,0.12,0.03,0.12
Jan Paul van Hecke,0,0,0
Hwang Hee-chan,0.24,0.27,0.24
Dean Henderson,0,0,0
Jordan Henderson,0.05,0.09,0.05
Rico Henry,0.04,0.17,0.04
Son Heung-min,0.32,0.16,0.32
Aaron Hickey,0.02,0.01,0.02
Pierre Højbjerg,0.03,0.2,0.03
Rob Holding,0,0,0
Mason Holgate,0.08,0.07,0.08
Will Hughes,0.57,0,0.57
Kelechi Iheanacho,0.36,0.19,0.36
Danny Ings,0.21,0.01,0.21
Alex Iwobi,0.03,0.16,0.03
Daniel James,0.05,0.14,0.05
Reece James,0.14,0.3,0.14
Vitaly Janelt,0.57,0.06,0.57
Pontus Jansson,0,0,0
Mathias Jensen,0.1,0.24,0.1
Gabriel Jesus,0.56,0.28,0.56
Raúl Jiménez,0.16,0.13,0.16
Joelinton,0.12,0.09,0.12
Ben Johnson,0,0.02,0
Brennan Johnson,0.14,0,0.14
Mathias Jørgensen,0,0.09,0
Jorginho,0.25,0.05,0.01
James Justin,0.01,0.04,0.01
Boubacar Kamara,0,0,0
Harry Kane,0.82,0.17,0.63
N'Golo Kanté,0.05,0.1,0.05
Michael Keane,0,0,0
Neeskens Kebano,0.03,0.08,0.03
Thilo Kehrer,0,0,0
Lloyd Kelly,0,0.01,0
Max Kilman,0.02,0,0.02
Mateusz Klich,0,0.24,0
Robin Koch,0.01,0,0.01
Ezri Konsa,0.04,0,0.04
Kalidou Koulibaly,0.09,0,0.09
Cheikhou Kouyaté,0,0,0
Mateo Kovačić,0,0,0
Emil Krafth,0,0,0
Dejan Kulusevski,0.13,0.23,0.13
Adam Lallana,0.14,0.08,0.14
Tariq Lamptey,0,0,0
Manuel Lanzini,0.06,0,0.06
Roméo Lavia,0.02,0.01,0.02
Clément Lenglet,0,0,0
Bernd Leno,0,0,0
Jefferson Lerma,0.07,0,0.07
Rico Lewis,0,0,0
Keane Lewis-Potter,0.16,0.88,0.16
Jesse Lingard,0.07,0.1,0.07
Diego Llorente,0.06,0,0.06
Hugo Lloris,0,0,0
Ruben Loftus-Cheek,0.19,0.08,0.19
Sean Longstaff,0.06,0.1,0.06
Jamal Lowe,0,0,0
Douglas Luiz,0.04,0.24,0.04
Lyanco,0,0,0
Alexis Mac Allister,0.22,0,0.03
James Maddison,0.17,0.09,0.17
Harry Maguire,0.09,0.01,0.09
Riyad Mahrez,0.05,0.17,0.05
Tyrell Malacia,0.01,0,0.01
Orel Mangala,0.05,0.02,0.05
Sekou Mara,0.19,0.16,0.19
Solly March,0.36,0.06,0.36
Emiliano Marcondes,0,0,0
Anthony Martial,0,0.88,0
Martinelli,0.37,0.32,0.37
Emiliano Martínez,0,0,0
Lisandro Martínez,0.06,0,0.06
Jean-Philippe Mateta,0.73,0,0.73
Joël Matip,0,0,0
Kevin Mbabu,0,0.92,0
Bryan Mbeumo,0.37,0.11,0.37
John McGinn,0.05,0.05,0.05
Scott McKenna,0,0,0
Dwight McNeil,0.09,0.06,0.09
Scott McTominay,0.07,0,0.07
Ben Mee,0.25,0,0.25
Edouard Mendy,0,0,0
Chris Mepham,0,0,0
Illan Meslier,0,0,0
Alexander Mighten,0,0,0
Luka Milivojević,0,0,0
James Milner,0.15,0.32,0.15
Yerry Mina,0,0,0
Tyrone Mings,0,0,0
Tyrick Mitchell,0,0.1,0
Kaoru Mitoma,0,0.6,0
Aleksandar Mitrović,0.89,0.01,0.49
Kieffer Moore,0.08,0.02,0.08
Mason Mount,0.15,0.08,0.15
Lucas Moura,0,0,0
João Moutinho,0.02,0.07,0.02
Jacob Murphy,0,0,0
Enock Mwepu,0,0.22,0
Vitaliy Mykolenko,0.07,0.09,0.07
Wilfred Ndidi,0,0,0
Pedro Neto,0.11,0.08,0.11
Rúben Neves,0.06,0.11,0.06
Moussa Niakhate,0.26,0,0.26
Rasmus Nissen,0.1,0.01,0.1
Eddie Nketiah,0.96,0.25,0.96
Christian Nørgaard,0.17,0.04,0.17
Matheus Nunes,0.18,0.01,0.18
Darwin Núñez,1.47,0.65,1.47
Lewis O'Brien,0.03,0.04,0.03
Martin Ødegaard,0.3,0.04,0.3
Michael Olise,0,0.11,0
Amadou Onana,0.09,0.08,0.09
Frank Onyeka,0,0,0
João Palhinha,0.05,0,0.05
Cole Palmer,0,0,0
Emerson Palmieri,0,0,0
Thomas Partey,0.11,0,0.11
Nathan Patterson,0.03,0.09,0.03
Ben Pearson,0.02,0,0.02
Andreas Pereira,0.05,0.2,0.05
Ayoze Pérez,0.1,0.37,0.1
Ivan Perišić,0.03,0.61,0.03
Romain Perraud,0.38,0,0.38
Kalvin Phillips,0,0,0
Nathaniel Phillips,0.08,0,0.08
Jordan Pickford,0,0.14,0
Daniel Podence,0.18,0.12,0.18
Nick Pope,0,0,0
Dennis Praet,0,0,0
Christian Pulisic,0.1,0,0.1
Aaron Ramsdale,0,0,0
Jacob Ramsey,0.04,0.1,0.04
Marcus Rashford,0.26,0.03,0.26
David Raya,0,0,0
Tim Ream,0.03,0,0.03
Nathan Redmond,0,0,0
Harrison Reed,0.06,0.06,0.06
Bobby Reid,0.21,0.04,0.21
Declan Rice,0.23,0.04,0.04
Chris Richards,0.09,0,0.09
Richarlison,0.4,0.93,0.4
Matt Ritchie,0,0,0
Andrew Robertson,0.04,0.07,0.04
Antonee Robinson,0.01,0.04,0.01
Marc Roca,0,0.02,0
Marek Rodák,0,0,0
Rodri,0.07,0.07,0.07
Rodrigo,0.63,0.18,0.63
Mads Roerslev,0,0,0
Cristian Romero,0.08,0,0.08
Oriol Romeu,0,0,0
Cristiano Ronaldo,0.22,0.08,0.22
Salomón Rondón,0.71,0.03,0.71
José Sá,0,0,0
Allan Saint-Maximin,0.25,0.26,0.25
Bukayo Saka,0.12,0.12,0.12
Mohamed Salah,0.56,0.29,0.56
William Saliba,0.01,0.2,0.01
Mohammed Salisu,0.05,0.02,0.05
Albert Sambi Lokonga,0,0,0
Davinson Sánchez,0.07,0,0.07
Robert Sánchez,0,0,0
Jadon Sancho,0.1,0.12,0.1
Gianluca Scamacca,0.04,0.07,0.04
Fabian Schär,0.05,0.05,0.05
Jeffrey Schlupp,0.1,0,0.1
Nélson Semedo,0.01,0.08,0.01
Marcos Senesi,0,0,0
Ryan Sessegnon,0.2,0,0.2
Luke Shaw,0.07,0.17,0.07
Bernardo Silva,0.33,0.31,0.33
Thiago Silva,0.03,0,0.03
Luis Sinisterra,0.9,0,0.9
Adam Smith,0.03,0.02,0.03
Emile Smith Rowe,0.29,1.53,0.29
Dominic Solanke,0.13,0,0.13
Manor Solomon,0,0,0
Tomáš Souček,0.25,0.01,0.25
Boubakary Soumaré,0,0,0
Djed Spence,27.47,0,27.47
Jack Stacey,0,0,0
Junior Stanislas,0.15,0,0.15
Jay Stansfield,0.27,0.07,0.27
Jack Stephens,0,0.15,0
Raheem Sterling,0.53,0.27,0.53
John Stones,0.06,0,0.06
Pascal Struijk,0.05,0.02,0.05
Crysencio Summerville,0,0,0
Sam Surridge,0.28,0,0.28
Matt Targett,0.03,0.24,0.03
James Tarkowski,0.13,0.03,0.13
Marcus Tavernier,0.03,0.06,0.03
Kenny Tete,0,0.04,0
Youri Tielemans,0.06,0.34,0.06
Kieran Tierney,0.02,0.02,0.02
Harry Toffolo,0.03,0.11,0.03
Takehiro Tomiyasu,0,0,0
Ivan Toney,0.32,0.37,0.32
Adama Traoré,0,0,0
Mark Travers,0,0,0
Kieran Trippier,0.02,0.12,0.02
Leandro Trossard,0.23,0.12,0.23
Kostas Tsimikas,0.02,0.4,0.02
Deniz Undav,0,0,0
Yan Valery,0,0,0
Virgil van Dijk,0.04,0,0.04
Raphaël Varane,0.02,0.02,0.02
Jamie Vardy,0.26,0.12,0.26
Joël Veltman,0.02,0,0.02
Rúben Vinagre,0,0,0
Kyle Walker,0,0.02,0
