team,team_xg,team_xa,team_npxg
Arsenal,1.94,1.25,1.94
Aston Villa,1.02,0.86,1.02
Bournemouth,0.32,0.23,0.32
Brentford,1.62,1.16,1.62
Brighton,1.53,1.04,1.34
Chelsea,1.41,0.98,1.23
Crystal Palace,1.41,1.03,1.19
Everton,1.31,0.86,1.31
Fulham,1.37,0.55,0.98
Leeds,1.5,0.72,1.5
Leicester City,0.8,0.69,0.8
Liverpool,2.14,1.51,2.14
Manchester City,2.27,1.54,2.07
Manchester Utd,1.31,1.01,1.31
Newcastle Utd,1.5,1.19,1.5
Nottingham Forest,0.94,0.52,0.94
Southampton,0.97,0.8,0.97
Tottenham,1.72,1.33,1.52
West Ham,0.9,0.52,0.76
Wolves,0.89,0.76,0.89
