Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17
Mohamed Salah,Bukayo Saka,James Ward-Prowse,Gabriel Magalhães,David de Gea,Robert Sánchez,Bryan Mbeumo,John McGinn,Emiliano Buendía Stati,Ben Davies,David Raya Martin,Chris Wood,Oriol Romeu Vidal,Joelinton Cássio Apolinário de Lira,Nathan Redmond,Vladimir Coufal,Cristian Romero
Heung-Min Son,Alisson Ramses Becker,Hugo Lloris,Conor Gallagher,Kasper Schmeichel,Marc Cucurella,Jordan Pickford,Jack Harrison,Kai Havertz,Neal Maupay,Declan Rice,Lewis Dunk,Jack Grealish,Kristoffer Ajer,Jordan Ayew,Kiernan Dewsbury-Hall,Mason Holgate
Trent Alexander-Arnold,James Maddison,Bruno Miguel Borges Fernandes,Conor Coady,Emiliano Martínez,Jamie Vardy,Pablo Fornals,Jacob Ramsey,Demarai Gray,Gabriel Teodoro Martinelli Silva,Martin Dubravka,Dan Burn,Rayan Ait Nouri,Tino Livramento,Alex Iwobi,Joel Ward,Mateusz Klich
Jarrod Bowen,Mason Mount,José Malheiro de Sá,Raphael Dias Belloli,Edouard Mendy,Marc Guéhi,Joachim Andersen,Ben White,Sergio Reguilón,Matt Targett,Rúben Diogo da Silva Neves,Craig Dawson,Kyle Walker,Stuart Dallas,Cheikhou Kouyaté,Harry Maguire,Granit Xhaka
João Pedro Cavaco Cancelo,Joel Matip,Rúben Santos Gato Alves Dias,Phil Foden,Marcos Alonso,Martin Ødegaard,Aaron Cresswell,Max Kilman,Tyrick Mitchell,Fabio Henrique Tavares,Armando Broja,Abdoulaye Doucouré,César Azpilicueta,Lucas Digne,Pascal Groß,Çaglar Söyüncü,Liam Cooper
Kevin De Bruyne,Cristiano Ronaldo dos Santos Aveiro,Leandro Trossard,Reece James,Thiago Emiliano da Silva,Pontus Jansson,Tomas Soucek,Jorge Luiz Frello Filho,Illan Meslier,Emerson Aparecido Leite de Souza Junior,Daniel James,Fabian Schär,Jeffrey Schlupp,Joseph Willock,Raphaël Varane,Scott McTominay,Allan Marques Loureiro
Virgil van Dijk,Raheem Sterling,Wilfried Zaha,Lukasz Fabianski,Ollie Watkins,Gabriel Fernando de Jesus,Allan Saint-Maximin,Kieran Tierney,Che Adams,Raúl Jiménez,Alexis Mac Allister,Vitaly Janelt,Moussa Sissoko,Seamus Coleman,Diego Llorente,Yves Bissouma,Fraser Forster
Harry Kane,Aymeric Laporte,Matthew Cash,Aaron Ramsdale,Eric Dier,Youri Tielemans,Ilkay Gündogan,Pierre-Emile Højbjerg,Michael Keane,Nélson Cabral Semedo,Jadon Sancho,Mohamed Elyounoussi,Lucas Rodrigues Moura da Silva,Hee-Chan Hwang,Leander Dendoncker,Kurt Zouma,Daniel Amartey
Andrew Robertson,Ederson Santana de Moraes,Ivan Toney,Michail Antonio,Emile Smith Rowe,Rodrigo Hernandez,Vicente Guaita,Rico Henry,Christian Nørgaard,Jan Bednarek,Frederico Rodrigues de Paula Santos,Douglas Luiz Soares de Paulo,Rodrigo Moreno,Sergi Canós,Thomas Partey,Victor Lindelöf,José Diogo Dalot Teixeira
Diogo Jota,Bernardo Mota Veiga de Carvalho e Silva,Saïd Benrahma,Harvey Barnes,Richarlison de Andrade,Tyrone Mings,Jordan Henderson,Danny Ings,Anthony Gordon,João Filipe Iria Santos Moutinho,Ethan Pinnock,Joël Veltman,Kyle Walker-Peters,Ezri Konsa Ngoyo,Timothy Castagne,Jonjo Shelvey,Luke Thomas
