Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Riyad Mahrez,N'Golo Kanté,Daniel Castelo Podence,Timo Werner,Adam Webster,Mathias Jensen,Ben Johnson,Mads Roerslev Rasmussen,Jonny Evans,Harry Winks
Trevoh Chalobah,Christian Pulisic,Patson Daka,Luis Díaz,Enock Mwepu,Nemanja Matic,Sean Longstaff,Wilfred Ndidi,Jonathan Castro Otto,Álvaro Fernández
Manuel Lanzini,Hakim Ziyech,John Stones,Jean-Philippe Mateta,Miguel Almirón,Nathaniel Clyne,Luke Shaw,Calum Chambers,Boubakary Soumaré,Ricardo Domingos Barbosa Pereira
Davinson Sánchez,Mateo Kovacic,Matt Doherty,Jacob Murphy,Fraser Forster,Stuart Armstrong,Ibrahima Diallo,Rodrigo Bentancur,Frank Onyeka,Ibrahima Konaté
Yoane Wissa,Takehiro Tomiyasu,Andros Townsend,Dominic Calvert-Lewin,Solomon March,Ruben Loftus-Cheek,Adama Traoré,Marc Albrighton,Tyler Roberts,Albert Sambi Lokonga
Odsonne Edouard,Philippe Coutinho Correia,Bruno Guimarães Rodriguez Moura,Emil Krafth,Alex McCarthy,Ryan Sessegnon,Adam Lallana,Angelo Ogbonna,Cédric Soares,Issa Diop
Dejan Kulusevski,Ademola Lookman,Thiago Alcántara do Nascimento,Roberto Firmino,Adam Armstrong,Ashley Young,Pierre-Emerick Aubameyang,Javier Manquillo,Oliver Skipp,Isaac Hayden
Kelechi Iheanacho,Tariq Lamptey,Naby Keita,Jakub Moder,Oleksandr Zinchenko,Callum Hudson-Odoi,Fernando Luiz Rosa,Adam Forshaw,Shandon Baptiste,James Justin
Ryan Fraser,Michael Olise,Marcus Rashford,Christian Benteke,Nathan Aké,Shane Duffy,Konstantinos Tsimikas,Romain Perraud,Bamidele Alli,Nampalys Mendy
Danny Welbeck,Mason Greenwood,Callum Wilson,Anthony Elanga,James McArthur,Nuno Varela Tavares,Vitalii Mykolenko,Kalvin Phillips,Will Hughes,Marvelous Nakamba
